Fault,Index,Long,Lat,Transv. Ob.,Normal Ob.,Transv. Unc.,Normal Unc.,Correlation,Transv. Pred.,Normal Pred.,Transv. Unc.,Normal Unc.,Correlation
Uruti Basin,211,176.716459,-41.277292,4.000,0.000,1.500,0.400,0.000,4.057,-0.031,1.559,0.358,-0.239
Uruti Ridge 2,212,176.822354,-41.226716,0.684,-1.440,1.009,1.035,-0.030,0.863,-1.224,0.779,1.022,-0.198
Edgecumbe 1987,213,176.787257,-38.023143,0.000,1.671,1.594,1.124,0.000,-0.010,1.680,1.494,1.088,0.165
Waimana - Waikaremoana,214,177.170911,-37.823397,1.626,0.556,1.006,0.923,0.066,1.547,0.403,0.990,0.933,0.311
Waiotahi: North,215,177.188268,-38.33001,1.034,0.065,0.405,0.217,0.085,1.075,0.096,0.359,0.221,0.052
Waiotahi: South,216,176.990653,-38.803025,1.879,0.119,1.164,0.400,0.163,1.436,0.103,1.023,0.389,0.291
Whakatane: North,217,177.011687,-38.07975,0.752,0.874,1.193,1.094,-0.578,1.527,0.092,1.283,0.975,-0.527
Whakatane: South,218,176.874617,-38.729942,2.067,0.131,1.092,0.437,0.133,1.827,0.071,1.048,0.352,0.041
Kairakau South,219,176.946246,-40.127675,0.000,-2.298,1.576,1.024,0.000,0.020,-1.415,1.013,0.652,-0.055
Kairakau North,220,177.094174,-39.952112,0.000,-1.532,1.050,0.938,0.000,0.085,-1.056,0.949,0.856,0.325
Madden Banks,221,177.158294,-40.503815,0.000,-1.915,1.314,0.980,0.000,0.191,-1.591,1.207,0.985,0.246
Motu o Kura East,222,177.646827,-39.996301,0.000,-1.532,1.050,0.938,0.000,0.341,-0.666,0.925,1.042,0.098
Edgecumbe North,223,176.928468,-37.950975,0.000,0.211,0.448,0.176,0.000,-0.011,0.206,0.442,0.133,-0.044
Edgecumbe Coastal,224,176.925464,-37.927776,0.000,2.057,1.962,0.758,0.000,-0.141,2.000,1.379,0.701,-0.029
White Island 1,225,176.976663,-37.889184,0.855,1.510,1.322,1.039,-0.405,0.779,1.587,1.197,1.188,-0.347
Keepa,226,176.992679,-37.910026,0.513,0.596,0.985,0.879,-0.760,0.492,0.626,1.100,1.013,-0.818
PorWest2 - PaoanuiRSouth,227,177.603936,-40.440392,0.000,-0.766,0.526,0.468,0.000,0.045,-0.656,0.514,0.532,0.125
Paoanui Ridge North,228,178.151636,-39.986409,0.000,-0.766,0.526,0.468,0.000,-0.053,-0.757,0.478,0.413,0.154
Kidnappers Ridge,229,177.430944,-39.553719,0.000,-1.149,0.788,0.512,0.000,0.139,-1.055,0.712,0.564,-0.131
White Island 2,230,177.178748,-37.72815,0.684,1.208,1.075,0.900,-0.298,0.448,1.386,1.198,0.807,-0.377
White Island 1,231,177.082969,-37.799477,0.855,1.510,1.322,1.039,-0.405,0.782,1.465,1.342,1.099,-0.557
White Island 2,232,177.226534,-37.701307,0.684,1.208,1.075,0.900,-0.298,0.585,1.348,1.017,0.929,-0.447
Kotare - Moutuhora,233,177.419576,-38.093985,0.470,0.030,0.150,0.098,0.055,0.274,0.021,0.083,0.059,0.231
Lachlan 1 & 2,234,177.803143,-39.516375,1.768,-1.354,1.089,1.022,-0.236,1.487,-0.755,0.919,0.892,-0.275
Lachlan 3,235,177.998951,-39.218669,3.182,-2.437,2.085,1.918,-0.308,1.787,-1.495,1.812,1.512,-0.148
Ariel Bank,236,178.375565,-38.757966,0.000,-4.673,3.206,2.210,0.000,-0.866,-3.445,2.494,1.741,-0.171
Gable End North,237,178.422199,-38.490487,0.000,-4.596,3.152,2.048,0.000,-0.346,-4.296,2.836,2.009,-0.194
Ritchie Ridge,238,178.504928,-39.435008,0.000,-1.149,0.788,0.894,0.000,-0.038,-0.648,0.485,0.494,-0.006
Paritu Ridge,239,178.726403,-39.017075,0.000,-1.532,1.050,0.938,0.000,0.075,-1.383,0.980,0.944,0.215
Houtunui,240,178.727677,-37.997169,0.000,-2.298,1.576,1.790,0.000,0.084,-1.752,1.898,1.347,-0.042
Ruatoria South 1,241,178.946559,-38.383047,0.000,-1.149,0.788,0.894,0.000,0.050,-0.999,0.813,0.962,0.004
