Fault,Index,Long.,Lat.,Transv. Ob.,Normal Ob.,Transv. Unc.,Normal Unc.,Correlation,Transv. Pred.,Normal Pred.,Transv. Unc.,Normal Unc.,Correlation
Waimanawa - Waikaremoana,217,177.172312,-37.83695,1.626,0.556,0.825,0.705,0.122,1.586,0.536,0.829,0.77,0.324
Motuokura Ridge,218,177.42916,-40.01995,0,-1.149,0.276,0.512,0,0.014,-1.216,0.312,0.686,-0.063
Motuokura North,219,177.753172,-39.760227,0,-0.766,0.184,0.468,0,0.003,-0.807,0.163,0.474,-0.119
Urewera 3,220,177.420938,-38.163752,0,0.087,0.538,0.032,0,-0.027,0.087,0.508,0.03,0.188
Omakere South,221,177.594326,-40.318591,0,-0.383,0.092,0.196,0,0,-0.379,0.09,0.196,-0.172
Omakere Ridge,222,177.936041,-39.987747,0,-0.766,0.184,0.468,0,0.011,-0.695,0.185,0.482,-0.148
Ritchie West 2,223,178.146533,-39.748997,0,-1.149,0.446,0.894,0,-0.015,-0.81,0.505,0.885,-0.07
Urewera 2,224,177.611872,-38.204385,0,0.087,0.538,0.032,0,0.077,0.088,0.495,0.039,0.281
Porangahau Ridge,225,177.697061,-40.500121,0,-0.766,0.298,0.468,0,0,-0.75,0.261,0.506,0.147
Paoanui Ridge North,226,178.177691,-39.958836,0,-0.766,0.298,0.468,0,0.007,-0.775,0.356,0.491,-0.262
Ritchie Ridge,227,178.443362,-39.513034,0,-1.149,0.446,0.894,0,0.013,-1.008,0.375,0.875,-0.314
Lachlan 1 & 2,228,177.726601,-39.565425,0,-1.915,0.46,0.98,0,0.02,-1.636,0.439,0.911,-0.148
Lachlan 3,229,178.048395,-39.102656,0,-3.447,0.826,1.918,0,0.063,-3.178,0.85,1.834,0.221
Gable End,230,178.284681,-38.57474,0,-2.911,0.698,1.552,0,0.011,-2.693,0.782,1.371,0.084
Ariel Bank,231,178.468246,-38.536008,0,-4.673,1.816,2.21,0,-0.182,-4.819,1.503,2.421,0.352
Houtunui,232,178.583526,-38.070861,0,-0.766,0.184,0.468,0,-0.008,-0.444,0.124,0.271,0.267
Paritu Ridge,233,178.727878,-38.998185,0,-1.532,0.596,0.938,0,-0.002,-1.485,0.623,0.711,-0.136
Ruatoria South 1,234,178.95766,-38.372101,0,-1.149,0.446,0.894,0,0,-1.195,0.455,1.08,0.167
