Fault,Index,Long.,Lat.,Transv. Ob.,Normal Ob.,Transv. Unc.,Normal Unc.,Correlation,Transv. Pred.,Normal Pred.,Transv. Unc.,Normal Unc.,Correlation
Kirkliston,52,170.537621,-44.588818,0,-0.075,0.062,0.072,0,0,0,0,0,-0.919
Hunters Hills,53,170.908934,-44.487453,0,-0.06,0.05,0.06,0,-0.005,-0.029,0.036,0.047,0.004
Brothers,54,170.899234,-44.213154,0,-0.03,0.026,0.03,0,0.001,-0.023,0.019,0.018,-0.144
Hutt Peel,55,171.391376,-43.761305,0,-0.447,0.292,0.447,0,-0.052,-0.247,0.287,0.495,0.076
Inangahua,56,171.856913,-41.933768,0,-0.354,0.158,0.242,0,0.008,-0.375,0.127,0.153,-0.011
Maimai,57,171.616364,-42.155126,0,-0.354,0.158,0.22,0,0.002,-0.357,0.173,0.288,-0.162
Brunner Anticline,58,171.274376,-42.530387,0,-0.269,0.12,0.116,0,0,-0.265,0.101,0.132,-0.2
Kelly,59,171.476947,-42.840464,12.991,-0.654,6.256,3.011,-0.081,18.564,-0.321,4.066,2.35,-0.097
Alpine Kaniere to Springs Junction,60,171.28273,-42.825799,11.181,-4.213,5.042,6.215,0.185,17.657,-0.876,4.381,3.479,-0.051
Paparoa Rangefront,61,171.561439,-41.925671,0,-0.25,0.21,0.172,0,0.002,-0.252,0.256,0.165,0.066
Alpine Kaniere to Springs Junction,62,171.724397,-42.602998,11.181,-4.213,5.042,6.215,0.185,15.501,2.186,3.325,2.286,-0.243
Hope Taramakau,63,171.606839,-42.734838,2.598,-0.513,1.711,1.301,-0.114,2.718,-0.066,1.818,1.411,-0.281
Porters Pass - Grey,64,171.948494,-43.267787,3.424,-0.188,0.628,0.59,-0.007,3.47,-0.037,0.663,0.586,0.06
Springbank,65,172.260275,-43.36714,0,-0.141,0.076,0.082,0,0,-0.141,0.067,0.077,0.069
Hororata,66,171.738537,-43.548817,0,-0.321,0.17,0.108,0,-0.009,-0.331,0.148,0.102,0.02
Torlesse,67,171.949978,-43.111247,0,-0.211,0.242,0.138,0,0.001,-0.213,0.27,0.134,-0.032
Hope Central West,68,171.900343,-42.722881,16.79,-0.91,3.129,1.911,-0.056,17.052,-1.23,3.038,1.673,0.021
Clarence Southwest,69,172.344076,-42.532262,2.989,-0.089,1.018,0.329,-0.083,2.986,-0.051,1.043,0.332,-0.005
Hope Central West,70,172.142673,-42.657775,16.79,-0.91,3.129,1.911,-0.056,16.955,-0.883,2.792,1.569,0.238
Hope 1888,71,172.394529,-42.604889,13.991,-0.251,3.02,1.199,-0.038,13.403,0.084,2.664,1.368,-0.005
Kakapo,72,172.321823,-42.671678,6.395,-0.078,2.004,0.543,-0.042,6.427,-0.035,1.713,0.603,0.185
Greendale,73,172.186016,-43.596512,0.188,0.006,0.176,0.027,0.205,0.168,0.005,0.189,0.027,0.068
White Creek,74,172.196551,-41.654474,0,-0.141,0.064,0.088,0,-0.001,-0.137,0.057,0.088,0.179
Esk,75,172.299789,-42.959719,0.25,-0.217,0.419,0.445,0.41,0.235,-0.19,0.442,0.442,0.5
Awatere Southwest,76,172.608009,-42.247807,5.168,-0.487,1.763,1.356,-0.05,5.329,-0.121,1.88,1.281,-0.039
